capcode,capcode_short,discipline,service,region,region_code,location,station,unit_type,unit_type_name,callsign,unit_number,description,remark,status,confidence,sources,source_urls
001403309,1403309,Brandweer,Brandweer,Zuid-Holland Zuid,,Binnenmaas,Binnenmaas,,,,,Staflid van dienst,,ok,high,bommel;capcodes_eu;tomzulu,https://capcodes.eu/;https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=152331628;https://p2000.bommel.net/cap2csv.php
001403310,1403310,Brandweer,Brandweer,Zuid-Holland-Zuid,,Binnenmaas,Binnenmaas,,,,,Mijnsheerenland/Westmaas WVD,,ok,high,bommel;tomzulu,https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=152331628;https://p2000.bommel.net/cap2csv.php
001403311,1403311,Brandweer,Brandweer,Zuid-Holland Zuid,,Binnenmaas,Binnenmaas,,,,,Mijnsheerenland/Westmaas prio 2,,ok,high,bommel,https://p2000.bommel.net/cap2csv.php
001403312,1403312,Brandweer,Brandweer,Zuid-Holland Zuid,,Binnenmaas,Binnenmaas,,,,,Mijnsheerenland/Westmaas prio 1,,ok,high,bommel,https://p2000.bommel.net/cap2csv.php
001403313,1403313,Brandweer,Brandweer,Zuid-Holland Zuid,,Binnenmaas,Binnenmaas,,,,,Maasdam/Puttershoek prio 2,,ok,high,bommel,https://p2000.bommel.net/cap2csv.php
001403314,1403314,Brandweer,Brandweer,Zuid-Holland Zuid,,Binnenmaas,Binnenmaas,,,,,Maasdam/Puttershoek prio 1,,ok,high,bommel,https://p2000.bommel.net/cap2csv.php
001403315,1403315,Brandweer,Brandweer,Zuid-Holland Zuid,,Binnenmaas,Binnenmaas,,,,,Heinenoord prio 2,,ok,high,bommel,https://p2000.bommel.net/cap2csv.php
001403316,1403316,Brandweer,Brandweer,Zuid-Holland Zuid,,Binnenmaas,Binnenmaas,,,,,Heinenoord prio 1,,ok,high,bommel,https://p2000.bommel.net/cap2csv.php
001403317,1403317,Brandweer,Brandweer,Zuid-Holland Zuid,,Binnenmaas,oproep,,,,,Mijnsheerenland/Westmaas kazerne oproep,,ok,high,bommel;capcodes_eu;tomzulu,https://capcodes.eu/;https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=152331628;https://p2000.bommel.net/cap2csv.php
001403318,1403318,Brandweer,Brandweer,Zuid-Holland Zuid,,Binnenmaas,oproep,,,,,Maasdam/Puttershoek kazerne oproep,,ok,high,bommel;capcodes_eu;tomzulu,https://capcodes.eu/;https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=152331628;https://p2000.bommel.net/cap2csv.php
001403319,1403319,Brandweer,Brandweer,Zuid-Holland Zuid,,Binnenmaas,oproep,,,,,Heinenoord kazerne oproep,,ok,high,bommel;capcodes_eu;tomzulu,https://capcodes.eu/;https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=152331628;https://p2000.bommel.net/cap2csv.php
001403359,1403359,Brandweer,Brandweer,Zuid-Holland Zuid,,,,,,,,Brandweer Zuid-Holland Zuid,,ok,medium,capcodes_eu,https://capcodes.eu/
001403416,1403416,Brandweer,Brandweer,Zuid-Holland Zuid,,Cromstrijen,Cromstrijen,,,,,Staflid van dienst,,ok,high,bommel;capcodes_eu;tomzulu,https://capcodes.eu/;https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=152331628;https://p2000.bommel.net/cap2csv.php
001403417,1403417,Brandweer,Brandweer,Zuid-Holland Zuid,,,,,,,,BRW Klaaswaal ( Staflid van Dienst ),,ok,high,capcodes_eu;tomzulu,https://capcodes.eu/;https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=152331628
