abbreviation,meaning,category,notes,source,source_url,source_record_id,observed_at
HAN,KNRM station Hansweert Reddingboot Jan van Engelenburg,Kustwacht/KNRM/Reddingsbrigade,,tomzulu_abbreviations,https://docs.google.com/spreadsheets/d/e/2PACX-1vQEUdOx_hCvNSkygQpbcwzWVBxQnXrsBoDD8raIOipSGhWqzfE4WfI0e33keKa9c02AShV1KTW3A8wq/pubhtml/sheet?headers=false&gid=1882334994,Kustwacht/KNRM/Reddingsbrigade:2:1:117,
HAR,KNRM station Harlingen (Waddenzee),Kustwacht/KNRM/Reddingsbrigade,,tomzulu_abbreviations,https://docs.google.com/spreadsheets/d/e/2PACX-1vQEUdOx_hCvNSkygQpbcwzWVBxQnXrsBoDD8raIOipSGhWqzfE4WfI0e33keKa9c02AShV1KTW3A8wq/pubhtml/sheet?headers=false&gid=1882334994,Kustwacht/KNRM/Reddingsbrigade:2:1:118,
HAR1,KNRM station Harlingen Reddingboot Wiecher en Jap Visser-Politiek,Kustwacht/KNRM/Reddingsbrigade,,tomzulu_abbreviations,https://docs.google.com/spreadsheets/d/e/2PACX-1vQEUdOx_hCvNSkygQpbcwzWVBxQnXrsBoDD8raIOipSGhWqzfE4WfI0e33keKa9c02AShV1KTW3A8wq/pubhtml/sheet?headers=false&gid=1882334994,Kustwacht/KNRM/Reddingsbrigade:2:1:119,
HAR2,KNRM station Harlingen Reddingboot Veronica,Kustwacht/KNRM/Reddingsbrigade,,tomzulu_abbreviations,https://docs.google.com/spreadsheets/d/e/2PACX-1vQEUdOx_hCvNSkygQpbcwzWVBxQnXrsBoDD8raIOipSGhWqzfE4WfI0e33keKa9c02AShV1KTW3A8wq/pubhtml/sheet?headers=false&gid=1882334994,Kustwacht/KNRM/Reddingsbrigade:2:1:120,
HAT,Haakarmvoertuig Terreinvaardig,Hulpdiensten,,tomzulu_abbreviations,https://docs.google.com/spreadsheets/d/e/2PACX-1vRN4hv6KvjYXT1Zc5HQG_WmAj17d1qspXlgCkTVK6s48ZtVGw6yCfQZS2NaZaTtTWIFuBpmcRVg2P6q/pubhtml/sheet?headers=false&gid=28007122,Hulpdiensten:2:1:369,
HAT-DF,Haakarmvoertuig Defensie,Hulpdiensten,,tomzulu_abbreviations,https://docs.google.com/spreadsheets/d/e/2PACX-1vRN4hv6KvjYXT1Zc5HQG_WmAj17d1qspXlgCkTVK6s48ZtVGw6yCfQZS2NaZaTtTWIFuBpmcRVg2P6q/pubhtml/sheet?headers=false&gid=28007122,Hulpdiensten:2:1:370,
HAT-G,Haakarmvoertuig terreinvaardig groot,Hulpdiensten,,tomzulu_abbreviations,https://docs.google.com/spreadsheets/d/e/2PACX-1vRN4hv6KvjYXT1Zc5HQG_WmAj17d1qspXlgCkTVK6s48ZtVGw6yCfQZS2NaZaTtTWIFuBpmcRVg2P6q/pubhtml/sheet?headers=false&gid=28007122,Hulpdiensten:2:1:371,
HAT-KR,Haakarmvoertuig terreinvaardig met kraan,Hulpdiensten,,tomzulu_abbreviations,https://docs.google.com/spreadsheets/d/e/2PACX-1vRN4hv6KvjYXT1Zc5HQG_WmAj17d1qspXlgCkTVK6s48ZtVGw6yCfQZS2NaZaTtTWIFuBpmcRVg2P6q/pubhtml/sheet?headers=false&gid=28007122,Hulpdiensten:2:1:372,
Hayo,Reddingboot Hoorn-Haven,Kustwacht/KNRM/Reddingsbrigade,,tomzulu_abbreviations,https://docs.google.com/spreadsheets/d/e/2PACX-1vQEUdOx_hCvNSkygQpbcwzWVBxQnXrsBoDD8raIOipSGhWqzfE4WfI0e33keKa9c02AShV1KTW3A8wq/pubhtml/sheet?headers=false&gid=1882334994,Kustwacht/KNRM/Reddingsbrigade:2:1:121,
HB,Havenbedrijf,Hulpdiensten,,tomzulu_abbreviations,https://docs.google.com/spreadsheets/d/e/2PACX-1vRN4hv6KvjYXT1Zc5HQG_WmAj17d1qspXlgCkTVK6s48ZtVGw6yCfQZS2NaZaTtTWIFuBpmcRVg2P6q/pubhtml/sheet?headers=false&gid=28007122,Hulpdiensten:2:1:373,
